Timestamp, Path Type, Loss Function, Alpha, Train Size, Accuracy, Output File
2026-01-16 01:16:23, pca, multiclass_split_loss_embedding_sign, 0.3, 50, 65.8, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_sign_mix_0.3
2026-01-16 01:20:52, pca, multiclass_split_loss_embedding_sign, 0.3, 200, 84.04, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_sign_mix_0.3
2026-01-16 01:22:16, pca, multiclass_split_loss_embedding_sign, 0.5, 10, 28.5, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_sign_mix_0.5
2026-01-16 01:24:59, pca, multiclass_split_loss_embedding_sign, 0.5, 50, 64.3, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_sign_mix_0.5
2026-01-16 01:29:28, pca, multiclass_split_loss_embedding_sign, 0.5, 200, 83.62, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_sign_mix_0.5
2026-01-16 01:30:06, raw, multiclass_cross_entropy, 0.0, 10, 38.28, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-16 01:30:48, raw, multiclass_cross_entropy, 0.0, 50, 70.34, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-16 01:31:34, raw, multiclass_cross_entropy, 0.0, 200, 83.5, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_cross_entropy_mix_0.0
2026-01-16 01:32:54, raw, multiclass_split_loss_embedding_relu, 0.3, 10, 26.86, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
2026-01-16 01:35:04, raw, multiclass_split_loss_embedding_relu, 0.3, 50, 69.1, MODEL_ENSEMBLE_1_OptimizedMNISTConv__emb64_OPTIM_adabelief__LR_0.0001__BATCHSIZE_8__trainsize_200__active_True_smplsize_10_div0.8_LOSS_multiclass_split_loss_embedding_relu_mix_0.3
